0,"Global Warming in an Unequal World: A Case of Environmental Colonialism",0503592022,"Agarwal, Anil; Narain, Sunita","Economics/Globalization/Globalization: Negative Development Impacts           /           /Political Science/International Relations/Environmental Issues"
1,"Marrying Planning, Economics and Environment: Is South Africa Ahead of the Curve?",1011-6370,"Armstrong, Winifred; Peart, Raewyn","Economics/Development/Sustainability/Policy, Politics and Theory           "
2,"The Localization of Development in Comparative Perspective",0013-0095,"Ettlinger, Nancy","Economics/Development/Development Theory and Critique/Approaches and Prerequisites           "
3,"Discriminating Altruisms",0879052473,"Hardin, Garrett","Sociology/Culture and Society/Ethics, Norms, and Values           "
4,"The Global Situation",0886-7356,"Tsing, Anna","Anthropology/Social/Cultural Anthropology/Culture/Evolution of Culture           "
5,"Kinship Studies: Some Impressions of the Current State of Play",0025-1496,"Barnes, John Arundel","Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           "
6,"Caring and Being Cared for: Displacing Marriage, Kinship, Gender and Sexuality",0020-8701,"Borneman, John","Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           "
7,"Kinship is Dead; Long Live Kinship",0010-4175,"Faubion, James D.","Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           "
8,"Kinship and Deep History: Exploring Connections between Culture Areas, Genes, and Languages",0002-7294,"Jones, Doug","Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           "
9,"Family Research and Theory in Yugoslavia",0149-4929,"Petrovic, Edit; Petroviv, Ruzica; Simic, Andrei","Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           "
10,"The Rehabilitation of Altruism and Cooperation",0801425891,"Uphoff, Norman","Sociology/Culture and Society/Ethics, Norms, and Values           "
11,"Anthropology and Adoption",0002-7294,"Terrell, John; Modell, Judith","Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           "
12,"Cultural Universals and Differences in Male Homosexuality: The Case of a Brazilian Fishing Village",0004-0002,"Cardoso, Fernando L.","Anthropology/Social/Cultural Anthropology/Gender           "
13,"Plenary: Narratives of Development",0030-0071,"Douglas, Carol Anne","Anthropology/Social/Cultural Anthropology/Gender           "
14,"The Liminal Body: The Language of Pain and Symbolisms around Sati",0141-7789,"Lakshmi, Aishwarya","Anthropology/Social/Cultural Anthropology/Gender           "
15,"Gendered Boundaries in Motion: Space and Identity on the Sino-Tibetan Frontier",0094-0496,"Makley, Charlene E.","Anthropology/Social/Cultural Anthropology/Gender           "
16,"Misconduct Alleged in Yanomamo Studies",0036-8075,"Mann, Charles C.","Anthropology/Social/Cultural Anthropology/Gender           "
17,"Female-selective Abortion in Asia: Patterns, Policies, and Debates",0002-7294,"Miller, Barbara D.","Anthropology/Social/Cultural Anthropology/Gender           "
18,"Indigenous Women's Identities and the Politics of Cultural Reproduction in the Ecuadorian Amazon",0002-7294,"Muratorio, Blanca","Anthropology/Social/Cultural Anthropology/Gender           "
19,"An Introduction to Global History",0-8133-1684-7,"Mazlish, Bruce","History/World/Global History/Concept/Critique           "
20,"Gang Behavior, Law Enforcement, and Community Values",0815700555,"Akerlof, George A.; Yellen, Janet L.","Sociology/Culture and Society/Ethics, Norms, and Values           "
21,"Women Have no Affines and Men no Kin: The Politics of the Jivaroan Gender Relation",0025-1496,"Seymour-Smith, Charlotte","Anthropology/Social/Cultural Anthropology/Gender           "
22,"Malay Male Migrants: Negotiating Contested Identities in Malaysia",0094-0496,"Thompson, Eric C.","Anthropology/Social/Cultural Anthropology/Gender           "
23,"The Innocence and Natural Liberty of Morlacchia: European Identity, Enlightened Anthropology and the Ambivalent Significance of Gender among Noble Savages",0304-4092,"Wolff, Larry","Anthropology/Social/Cultural Anthropology/Gender           "
24,"Anthropological Knowledge and Native American Cultural Practice in the Liberal Polity",0002-7294,"Boggs, James P.","Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           "
25,"Human Universals, Human Nature & Human Culture",0011-5266,"Brown, Donald E.","Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           "
26,"An Athapaskan Way of Knowing: Chipewyan Ontology",0094-0496,"Smith, David M.","Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           "
27,"Utopia and its Discontents: The Kibbutz and its Historical Vicissitudes",0002-7294,"Spiro, Melford E.","Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           "
28,"The Rounding of the Earth: Ecology and Global History",0-8133-1684-7,"Goodwin, Neva R.","History/Environmental History/Ideas and Thinkers/Theory           /           /GDAE/Environmental Policy and Sustainable Development"
29,"The Value Basis of Environmental Concern. (Green Justice: Conceptions of Fairness and the Natural World)",0022-4537,"Stern, Paul C.; Dietz, Thomas","Sociology/Culture and Society/Ethics, Norms, and Values           "
30,"Confronting Anthropology, Education, and the Inner-city Apartheid",0002-7294,"Bourgois, Philippe","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
31,"Mapping Power: Disputing Claims to Kipat Lands in Northeastern Nepal",0094-0496,"Forbes, Ann Armbrecht","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
32,"Kuranda at War: Contested Space and the Politics of the Market Place",1035-8811,"Henry, Rosita","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
33,"Tahiti Intertwined: Ancestral Land, Tourist Postcard, and Nuclear Test Site",0002-7294,"Kahn, Miriam","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
34,"The Memorialization of September 11: Dominant and Local Discourses on the Rebuilding of the World Trade Center Site",0094-0496,"Low, Setha M.","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
35,"Urban Kampongs in Ambon: Whose Domain? Whose Desa?",1035-8811,"Mearns, David","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
36,"The Burden of Heritage: Claiming a Place for a West Indian Culture",0094-0496,"Olwig, Karen Fog","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
37,"Telling about Whites, Talking about Indians: Oppression, Resistance, and Contemporary American Indian Identity",0886-7356,"O'Nell, Theresa D.","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
38,"Global History: Historiographical Feasibility and Environmental Reality",0-8133-1684-7,"Schafer, Wolf","History/World/Global History/Concept/Critique           "
