1000,"The Partition of Africa","History/World/Global History/Geopolitics/Internal Conflicts           "
1001,"Africa, the Victorians and Imperialism","History/World/Global History/Geopolitics/Internal Conflicts           "
1002,"The Summoning","History/Economic History/Financial Markets, Financial Institutions, and Monetary History/International           "
1003,"If Not Civilizations, What? Samuel Huntington Responds to His Critics","History/Economic History/Financial Markets, Financial Institutions, and Monetary History/International           "
1004,"Historical Roots of our Ecological Crisis: A Reassessment","History/Social and Cultural History/Systems of Belief/Christianity           "
1005,"Homo Socio-Economicus: Foundational to Social Economics and the Social Economy","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Behavioral Economics           "
1006,"The Next Christianity","History/Social and Cultural History/Systems of Belief/Christianity           "
1007,"Western Historical Thinking in a Global Perspective: Ten Theses","History/Social and Cultural History/Systems of Belief/Theory and Issues in Religion and Atheism           "
1008,"Introduction: Provincializing Europe: Historiography as a Transcultural Concept","History/Social and Cultural History/Systems of Belief/Theory and Issues in Religion and Atheism           "
1009,"The Idea of Provincializing Europe","History/Political History/Colonial/Postcolonial History           "
1010,"Postcoloniality and the Artifice of History","History/Political History/Colonial/Postcolonial History           "
1011,"The Islamic World in the Era of Western Domination 1800 to the Present","History/Social and Cultural History/Systems of Belief/Islam           "
1012,"Secularized Islam and Islamic Revival","History/Social and Cultural History/Systems of Belief/Islam           "
1013,"Judaism, Christianity, and Islam in their Contemporary Encounters","History/Social and Cultural History/Systems of Belief/Islam           "
1014,"Authoritarianism, Religious Fundamentalism, Quest, and Prejudice","Social Psychology/Group Dynamics/Race, Religion, and Ethnicity           "
1015,"Cooperation, Prosocial Behavior, and Academic Performance: Experiments in the Desegregated Classroom","Social Psychology/Group Dynamics/Race, Religion, and Ethnicity           "
1016,"Alternative Conceptions of the Economic Realm","Economics/Economics as a Social Science/Alternatives to Mainstream Economics/Behavioral Economics           "
1017,"Reducing Intergroup Bias: The Benefits of Recategorization","Social Psychology/Group Dynamics/Race, Religion, and Ethnicity           "
1018,"Language Use in Intergroup Contexts: The Linguistic Intergroup Bias","Social Psychology/Group Dynamics/Race, Religion, and Ethnicity           "
1019,"Experiments in Group Conflict","Social Psychology/Applied Social Psychology/Aggression, Violence and AntiSocial Behavior           "
1020,"Social Categorization and Intergroup Behavior","Social Psychology/Group Dynamics/Race, Religion, and Ethnicity           "
1021,"Transnational Urbanism Revisited","Sociology/Urban Sociology/Social Organization           "
1022,"Tensions in the Growth Machine: Overcoming Resistance to Value-Free Development","Sociology/Urban Sociology/Capitalism and Cities           "
1023,"Political Economies of Scale: Fast Policy, Interscalar Relations, and Neoliberal Workfare","Sociology/Urban Sociology/WellBeing and Cities           "
1024,"Whose Social Economy? Debating New State Practices in Québec","Sociology/Urban Sociology/Social Organization           "
1025,"The National and the Universial: Can There Be Such a Thing as World Culture?","Anthropology/Social/Cultural Anthropology/Society, Civilization, and Culture           "
