6000,"Arms Trade: A Global Epidemic",1011-6370,"Nanthikesan, Suppiramaniam","Political Science/International Relations/Conflict, Peace, and Security/Arms Control           "
6001,"One Rogue State Crisis at a Time!: The United States and North Korea's Nuclear Weapons Program",0043-8200,"Roehrig, Terence","Political Science/International Relations/Conflict, Peace, and Security/Arms Control           "
6002,"The Political Economy of Reform: A Coalition for Peace",0275944336,"Streeten, Paul","Political Science/International Relations/Conflict, Peace, and Security/Arms Control           "
6003,"Who Participates in Global Environmental Governance? Partial Answers from International Relations Theory",0032-2687,"Auer, M. R.","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6004,"An Ethnographer in the Global Arena: Globography Perhaps?",1470-2266,"Hendry, Joy","Sociology/Culture and Society/Globalization, Cultures, and Communication           "
6005,"International Law and International Relations Theory: A Dual Agenda",0002-9300,"Burley, Anne-Marie Slaughter","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6006,"International Relations Theory and the Discourse on Terrorism: Preliminary Reflections on Context and Limits",1013-1108,"Du Plessis, Anton","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6007,"Tales from the Dark Side: Africa's Challenge to the International Relations Theory",8755-3449,"Dunn, Kevin","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6008,"The Evolution of International Norms",0020-8833,"Florini, Ann","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6009,"Nationalism and International Relations Theory",0004-9522,"Griffiths, Martin; Sullivan, Michael","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6010,"The Promise of Constructivism in International Relations Theory",0162-2889,"Hopf, Ted","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6011,"The Limits of Neorealism: Marginal States and International Relations Theory",0739-1854,"Lieb, Doug","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6012,"Postcolonialism in an Age of Globalization: Opening International Relations Theory to Identities in Movement",0304-3754,"McCormack, Brian","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6013,"Issac Deutscher and the Lost History of International Relations",0028-6060,"Rosenberg, Justin","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6014,"You Just Don't Understand: Troubled Engagements Between Feminists and IR Theorists",0020-8833,"Tickner, J. Ann","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6015,"The Politics of Confusion in International Relations Theory",1045-7097,"Watson, Bradley C. S.","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
6016,"Engaging Globalization: Critical Theory and Global Political Change",0304-3754,"Weber, Martin","Political Science/International Relations/Approach, Critique of International Relations Theory, and Methodology           "
