0,Global Warming in an Unequal World: A Case of Environmental Colonialism,Economics/Globalization/Globalization: Negative Development Impacts           /           /Political Science/International Relations/Environmental Issues,,
1,Marrying Planning|| Economics and Environment: Is South Africa Ahead of the Curve?,"Economics/Development/Sustainability/Policy, Politics and Theory           ",,
2,The Localization of Development in Comparative Perspective,Economics/Development/Development Theory and Critique/Approaches and Prerequisites           ,,
3,Discriminating Altruisms,"Sociology/Culture and Society/Ethics, Norms, and Values           ",,
4,The Global Situation,Anthropology/Social/Cultural Anthropology/Culture/Evolution of Culture           ,,
5,Kinship Studies: Some Impressions of the Current State of Play,"Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           ",,
6,Caring and Being Cared for: Displacing Marriage|| Kinship|| Gender and Sexuality,"Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           ",,
7,Kinship is Dead; Long Live Kinship,"Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           ",,
8,Kinship and Deep History: Exploring Connections between Culture Areas|| Genes|| and Languages,"Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           ",,
9,Family Research and Theory in Yugoslavia,"Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           ",,
10,The Rehabilitation of Altruism and Cooperation,"Sociology/Culture and Society/Ethics, Norms, and Values           ",,
11,Anthropology and Adoption,"Anthropology/Social/Cultural Anthropology/Family, Marriage, and Kinship           ",,
12,Cultural Universals and Differences in Male Homosexuality: The Case of a Brazilian Fishing Village,Anthropology/Social/Cultural Anthropology/Gender           ,,
13,Plenary: Narratives of Development,Anthropology/Social/Cultural Anthropology/Gender           ,,
14,The Liminal Body: The Language of Pain and Symbolisms around Sati,Anthropology/Social/Cultural Anthropology/Gender           ,,
15,Gendered Boundaries in Motion: Space and Identity on the Sino-Tibetan Frontier,Anthropology/Social/Cultural Anthropology/Gender           ,,
16,Misconduct Alleged in Yanomamo Studies,Anthropology/Social/Cultural Anthropology/Gender           ,,
17,Female-selective Abortion in Asia: Patterns|| Policies|| and Debates,Anthropology/Social/Cultural Anthropology/Gender           ,,
18,Indigenous Women's Identities and the Politics of Cultural Reproduction in the Ecuadorian Amazon,Anthropology/Social/Cultural Anthropology/Gender           ,,
19,An Introduction to Global History,History/World/Global History/Concept/Critique           ,,
20,Gang Behavior|| Law Enforcement|| and Community Values,"Sociology/Culture and Society/Ethics, Norms, and Values           ",,
21,Women Have no Affines and Men no Kin: The Politics of the Jivaroan Gender Relation,Anthropology/Social/Cultural Anthropology/Gender           ,,
22,Malay Male Migrants: Negotiating Contested Identities in Malaysia,Anthropology/Social/Cultural Anthropology/Gender           ,,
23,The Innocence and Natural Liberty of Morlacchia: European Identity|| Enlightened Anthropology and the Ambivalent Significance of Gender among Noble Savages,Anthropology/Social/Cultural Anthropology/Gender           ,,
24,Anthropological Knowledge and Native American Cultural Practice in the Liberal Polity,Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           ,,
25,Human Universals|| Human Nature & Human Culture,Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           ,,
26,An Athapaskan Way of Knowing: Chipewyan Ontology,Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           ,,
